PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID	RI	MASS	CAS	PUBCHEM	KEGG	                                      Group HMDB
1654	1-(1-enyl-oleoyl)-2-arachidonoyl-GPE (P-18:1/20:4)*	Lipid	Plasmalogen	52685	LC/MS Polar	100009001	751	748.52866				
1584	1-(1-enyl-oleoyl)-GPE (P-18:1)*	Lipid	Lysolipid	44621	LC/MS Neg	100005372	6250	462.29899				
1651	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	Lipid	Plasmalogen	52673	LC/MS Polar	100009002	754	722.51301				
1655	1-(1-enyl-palmitoyl)-GPC (P-16:0)*	Lipid	Lysoplasmalogen	52474	LC/MS Neg	100002875	6300	554.34633		10917802		
1656	1-(1-enyl-palmitoyl)-GPE (P-16:0)*	Lipid	Lysoplasmalogen	39270	LC/MS Neg	100003000	6285	436.28334				
1458	1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*	Lipid	Phospholipid Metabolism	52475	LC/MS Polar	100008999	753	750.54431		9547058		HMDB05779
1583	1-(1-enyl-stearoyl)-GPE (P-18:0)*	Lipid	Lysolipid	39271	LC/MS Neg	100003001	6500	464.31464				
3518	1-(3-aminopropyl)-2-pyrrolidone	Xenobiotics	Chemical	40506	LC/MS Pos	100003263	1350	143.11789	7663-77-6	82111		
2898	1,1-kestotetraose	Xenobiotics	Food Component/Plant	39796	LC/MS Neg	100003047	1381.3	665.21458	13133-07-8	166775		HMDB39176
3628	1,2,3-benzenetriol sulfate (2)	Xenobiotics	Chemical	48762	LC/MS Neg	100006374	1709	204.98123				
1692	1,2-dipalmitoylglycerol	Lipid	Diacylglycerol	11953	GC/MS	850	2600	145	40290-32-2	99931		HMDB07098
1442	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	Phospholipid Metabolism	19130	LC/MS Polar	100000657	830	778.5604	63-89-8	452110		HMDB00564
3505	1,2-propanediol	Xenobiotics	Chemical	38002	GC/MS	100001176	1041	117	57-55-6	1030	C00583	HMDB01881
2820	1,3,7-trimethylurate	Xenobiotics	Xanthine Metabolism	34404	LC/MS Neg	100001397	1985	209.06801	5415-44-1	79437	C16361	HMDB02123
2817	1,3-dimethylurate	Xenobiotics	Xanthine Metabolism	32391	LC/MS Neg	100001106	1671.4	195.05236	944-73-0	70346		HMDB01857
1693	1,3-dipalmitoylglycerol	Lipid	Diacylglycerol	35728	GC/MS	1730	2637	371.3	26657-95-4	68149		HMDB31011
